k_h
"{'coming of age': 1, 'young girl': 1, 'bat mitzvah': 1, 'jewish': 1, 'unravel': 0, 'jewess': 0, 'young boy': 0, 'young': 0, 'middle school': 0, 'school': 0, 'student': 0, 'long title': 0, 'based on novel': 0}"
"{'american politics': 11, 'manhattan project': 10, 'nuclear': 9, 'nuclear physicist': 8, 'based on real people': 10, 'based on true story': 9, 'year 1945': 5, 'albert einstein character': 5, 'atomic bomb': 7, 'female nudity': 7, 'period drama': 4, 'sex scene': 4, 'j. robert oppenheimer character': 6, 'character name in title': 6, 'written by director': 3, 'nuclear weapon': 3, 'husband wife relationship': 3, 'top secret': 3, 'betrayal': 3, 'security clearance': 3, 'world war two': 4, 'based on real person': 4, 'female topless nudity': 6, 'mastermind': 2, '1940s': 2, 'atomic testing': 2, 'president': 2, 'nuke': 2, 'epic drama': 2, 'guilt': 2, 'based on biography': 2, 'brief sex scene': 2, 'los alamos new mexico': 2, 'atomic explosion': 2, 'desert': 2, 'communist': 2, 'nonlinear timeline': 2, 'moral dilemma': 2, 'some scenes in black and white': 2, 'historical event': 2, 'nude woman': 2, 'atom bomb': 3, 'accused of being a communist': 3, 'year 1943': 1, 'laboratory': 1, 'harry s. truman character': 1, 'nuclear fission': 1, 'explosion': 1, 'bomb': 1, 'nightmarish vision': 1}"
"{'barbie': 15, 'matriarchy': 4, 'patriarchy': 8, 'based on toy': 9, 'mattel': 3, 'voice over narration': 3, 'existential crisis': 3, 'mother daughter relationship': 3, 'doll': 5, 'self discovery': 8, 'anthropomorphic doll': 2, 'fantasy world': 2, 'singing in a car': 3, 'gender roles': 4, 'social satire': 4, 'feminism': 4, 'title directed by female': 3, 'barbie character': 2, 'dance': 2, 'beach': 2, 'ken character': 2, 'pink': 2, 'identity crisis': 2, 'female protagonist': 1, 'ceo': 1, 'female narrator': 1, 'self referential': 1, 'fictional country': 1, 'pregnant woman': 1, 'f rated': 5, 'blonde': 2, 'title co written by female': 2, 'misogyny': 2, 'reference to 2001 a space odyssey': 2, 'ostracism': 1, 'existentialism': 1, 'toy comes to life': 1, 'reference to sylvester stallone': 1, 'gay': 1, 'asexual character': 1, 'transgender': 1, 'reference to rocky 2': 1, 'reference to rocky 3': 1, 'reference to rocky 4': 1, 'aesthetics': 0, 'co written by director': 0, 'live action adaptation': 0, 'metafiction': 0, 'singing along to music on a car radio': 0, 'reference to margot robbie': 0}"
"{'barry allen character': 5, 'the flash character': 4, 'multiverse': 3, 'struck by lightning': 3, 'time travel': 3, 'dc extended universe': 3, 'superhuman speed': 3, 'batman character': 2, 'super speed': 2, 'bruce wayne character': 2, 'supergirl character': 2, 'general zod character': 2, 'lighting': 2, 'alternate future': 2, 'alternate history': 2, 'alternate reality': 2, 'superhero': 2, 'origin of hero': 2, 'dc comics': 2, 'mexican woman': 2, 'mexican american': 2, 'iris west character': 1, 'alien spacecraft': 1, 'alien': 1, 'good versus evil': 1, 'based on comic': 1, 'secret identity': 1, 'based on comic book': 1, 'character name in title': 1, 'cyborg character': 1, 'mexican': 1, 'spanish actress playing mexican character': 1, '2020s': 0, 'shared universe': 0, 'sequel': 0, 'costumed hero': 0, 'superhuman': 0, 'surrealism': 0, 'villain': 0, 'speed': 0, 'fight': 0, 'laser': 0, 'masked hero': 0, 'superhero fantasy': 0, 'superhero action': 0, 'superhero sci fi': 0, 'alternate timeline': 0, 'alternate world': 0, 'amazon river': 0, 'aquaman character': 0}"
"{'young boy': 1, 'dc extended universe': 1, 'good versus evil': 1, 'dc comics': 0, 'based on comic book': 0, 'based on comic': 0, 'superhero': 0, 'hero': 0, 'villain': 0, 'power': 0, 'superpower': 0, 'alien': 0, 'armor': 0, 'costume': 0, 'fight': 0, 'plan': 0, 'skill': 0, 'exploration': 0, 'evil': 0, 'latin american': 0, 'blue beetle character': 0, 'masked hero': 0, 'latino': 0, 'supervillain': 0, 'electric': 0, 'color in title': 0, 'shared universe': 0, 'origin of hero': 0, 'mexican': 0, 'alien technology': 0, 'high tech suit': 0, 'costumed hero': 0, 'surrealism': 0, 'superhero action': 0, 'superhero sci fi': 0, 'transformation': 0, 'transform': 0, 'fly': 0, 'flying': 0, 'beetle': 0, 'technology': 0, 'animal in title': 0, 'villainess': 0, 'character name as title': 0, 'alliterative title': 0, 'insect in title': 0, 'female villain': 0, 'family relationships': 0, 'two word title': 0, 'missing brother': 0}"
"{'vampire': 2, 'cargo ship': 1, 'gothic': 1, 'supernatural horror': 1, 'doctor': 1, 'captain': 1, 'count dracula character': 1, 'horror icon': 1, 'ship captain': 1, 'vampirism': 1, 'period piece': 1, 'literature on screen': 1, 'gothic horror': 1, 'based on book': 1, 'based on novel': 1, 'six word title': 1, 'supernatural power': 0, 'survival': 0, 'terror': 0, 'dark': 0, 'gore': 0, 'jump scare': 0, 'bloody violence': 0, 'dracula character': 0, 'lifeboat': 0, 'year 1897': 0, '1897': 0, 'full moon': 0, 'shot with a shotgun': 0, 'pub': 0, 'burned to death': 0, 'sailing ship': 0, 'stowaway': 0, '1890s': 0, 'transylvania': 0, 'death of dog': 0, 'rat': 0, 'rat infested ship': 0, 'rat abandoning ship': 0, 'blood transfusion': 0, 'death of grandson': 0, 'british literature on screen': 0, 'throat slit': 0, 'bay of biscay': 0, 'aegean sea': 0, 'flashlight': 0, 'lighthouse': 0, 'shipwreck': 0, 'slaughter': 0, 'fog': 0}"
"{'creature feature': 4, 'giant octopus': 4, 'megalodon': 6, 'shark': 3, 'disaster': 3, 'tyrannosaurus rex': 3, 'spanish actor playing mexican character': 2, 'asian': 2, 'disaster film': 1, 'ocean': 1, 'sea': 1, 'water': 1, 'villainess': 1, 'no opening credits': 1, 'digit in title': 1, 'bilingualism': 1, 'reference to james bond': 1, 'tentacle': 1, 'based on novel': 1, 'sequel': 1, 'second part': 1, 'giant shark': 1, 'mexican': 1, '14 year old girl': 1, 'repeat sequel': 1, 'sea creature': 0, 'trench': 0, 'mining': 0, 'chinese': 0, 'cretaceous period': 0, 'dinosaur': 0, 'sea monster': 0, 'reference to batman': 0, 'creature': 0, 'slow motion scene': 0, 'killer fish': 0, 'killer shark': 0, 'eaten alive': 0, 'subtitled scene': 0, 'subjective camera': 0, ""character's point of view camera shot"": 0, ""character repeating someone else's dialogue"": 0, 'character says i love you': 0, 'animal killing': 0, 'animal attack': 0, 'conspiracy': 0, 'pistol': 0, 'desert eagle': 0, 'machine gun': 0, 'assault rifle': 0}"
"{'indiana jones character': 8, 'sequel': 4, 'fifth part': 4, 'character name in title': 4, 'time travel': 3, 'world war two': 2, 'archaeologist': 2, 'archimedes character': 2, 'college professor': 2, 'archaeology professor': 2, 'year 1969': 3, 'journey shown on map': 1, 'famous opening theme': 1, 'sicily italy': 1, 'reference to polybius': 1, 'archimedes dial': 1, 'macguffin': 0, 'whip': 0, 'seven word title': 0, 'nasa': 0, 'female scientist': 0, 'former nazi': 0, 'carjacking': 0, 'punched in the face': 0, 'year 1944': 0, 'french alps': 0, 'artifact': 0, 'nazi': 0, 'swastika': 0, 'scientist': 0, 'goddaughter': 0, 'godfather': 0, 'henchman': 0, 'airplane': 0, 'echo': 0, 'car chase': 0, 'fight on train roof': 0, 'subway': 0, 'horse': 0, 'horse riding in a city': 0, 'parade': 0, 'fight on a train': 0, 'binocular view': 0, 'binoculars': 0, 'kidnapping': 0, 'sack on head': 0, 'bullwhip': 0, 'falling from an airplane': 0, 'falling from height': 0, 'famous score': 0}"
"{'car': 1, 'young boy': 1, 'teenager': 1, 'game': 0, 'based on video game': 0, 'gran turismo': 0, 'vehicle': 0, 'race': 0, 'racing': 0, 'road': 0, 'circuit': 0, 'driver': 0, 'driving': 0, 'professional': 0, 'motorsport': 0, 'rival': 0, 'teenage boy': 0, 'based on real people': 0, 'young': 0, 'sim racing': 0, 'racing game': 0, 'playstation': 0, 'father son relationship': 0, 'police': 0, 'driving a car': 0, 'car chase': 0, 'car racing': 0, 'car race': 0, 'listening to music': 0, 'airplane': 0, 'car crash': 0, 'hospital': 0, 'death': 0, 'guilt': 0, 'la marseillaise': 0, 'champagne': 0, 'nissan': 0, '2010s': 0, 'year 2011': 0, 'year 2012': 0, 'year 2013': 0, 'year 2014': 0, 'year 2015': 0, '21st century': 0, 'timeframe 21st century': 0, 'academy': 0, 'career': 0, 'crash': 0, 'chase': 0, 'track': 0}"
"{'martial arts action': 0, 'sequel': 0, 'third part': 0, 'digit in title': 0, 'mafia': 0, 'organized crime': 0, 'italy': 0, 'american abroad': 0, 'african american': 0, 'black hero': 0, 'action hero': 0, 'anti hero': 0, 'one man army': 0, 'tough guy': 0, 'warrior': 0, 'neo noir': 0, 'based on tv series': 0, 'no opening credits': 0, 'prologue': 0, 'opening action scene': 0, 'one against many': 0, 'reverse footage': 0, 'showdown': 0, 'final showdown': 0, 'montage': 0, 'flashback': 0, ""character's point of view camera shot"": 0, 'subjective camera': 0, ""character repeating someone else's dialogue"": 0, 'stabbed in the face': 0, 'stabbed in the head': 0, 'stabbed in the eye': 0, 'stabbed in the neck': 0, 'stabbed through the neck': 0, 'stabbed in the hand': 0, 'stabbed in the chest': 0, 'stabbed to death': 0, 'severed hand': 0, 'severed head': 0, 'garrotte': 0, 'strangulation': 0, 'shot in the head': 0, 'shot in the forehead': 0, 'shot in the chest': 0, 'shot in the back': 0, 'shot to death': 0, 'broken arm': 0, 'murder': 0, 'death': 0, 'violence': 0}"
"{'female topless nudity': 10, 'female full frontal nudity': 10, 'nude fighting': 6, 'female full rear nudity': 9, 'female uber driver': 4, 'female rear nudity': 6, 'female frontal nudity': 6, 'female star appears nude': 5, 'female nudity': 6, 'female pubic hair': 4, 'raunchy comedy': 5, 'advertising on craigslist': 2, 'quirky comedy': 3, 'girl skinny dipping': 3, 'woman swims nude': 4, 'male virgin': 4, 'skinny dipping': 4, 'embarrassing female nudity': 2, 'embarrassing nudity': 2, 'f word': 1, 'uber driver': 1, 'introverted teenage boy': 1, 'overprotective mother': 1, 'overprotective father': 1, 'over protective parents': 1, 'property taxes': 1, 'helicopter parents': 1, 'helicopter parent': 1, 'helicopter mom': 1, 'helicopter dad': 1, 'buick regal': 1, 'university': 1, 'female attempts to seduce male': 1, 'women seduce a man': 1, 'animal shelter': 1, 'friendship': 1, 'damaging a car': 1, 'mature woman seduces teenage boy': 1, 'outdoor nudity': 1, 'nude outside': 1, 'college': 1, 'pubic hair': 1, 'craigslist': 1, 'reference to craigslist': 1, 'public nudity': 1, 'woman skinny dipping': 1, 'women skinny dipping': 1, 'three word title': 0, 'profanity': 0, 'piano playing': 0}"
